| #  | Concept (Kanji) | Glyph   | Verb Form    |
| 439 | Escape (逃)      | **fug**   | to flee        |
| 440 | Ambush (伏)      | **insid** | to lie in wait |
| #   | Concept (Kanji) | Glyph     | Verb Form     |
| --- | --------------- | --------- | ------------- |
| 441 | King (王)        | **rex**   | to rule       |
| 442 | Queen (女王)      | **regī**  | to reign      |
| 443 | Servant (僕)     | **serv**  | to assist     |
| 444 | Master (主)      | **dom**   | to command    |
| 445 | Elder (翁)       | **archē** | to advise     |
| 446 | Child (児)       | **inf**   | to grow under |
| 447 | Parent (親)      | **genet** | to raise      |
| 448 | Stranger (他)    | **xen**   | to estrange   |
| 449 | Leader (導)      | **hēg**   | to guide      |
| 450 | Follower (従)    | **duct**  | to trail      |
| #   | Concept (Kanji) | Glyph    | Verb Form |
| --- | --------------- | -------- | --------- |
| 451 | Tool (具)        | **op**   | to equip  |
| 452 | Weapon (武)      | **arm**  | to arm    |
| 453 | Book (書)        | **bibl** | to record |
| 454 | Scroll (巻)      | **vol**  | to wrap   |
| 455 | Cloth (布)       | **tex**  | to weave  |
| 456 | Ship (船)        | **nav**  | to sail   |
| 457 | Wheel (輪)       | **rot**  | to spin   |
| 458 | Door (戸)        | **port** | to open   |
| 459 | Lock (錠)        | **clav** | to secure |
| 460 | Key (鍵)         | **clē**  | to unlock |
| #   | Concept (Kanji) | Glyph     | Verb Form   |
| --- | --------------- | --------- | ----------- |
| 461 | Time (時)        | **chron** | to pass     |
| 462 | Moment (瞬)      | **inst**  | to snap     |
| 463 | Now (今)         | **nunc**  | to present  |
| 464 | Past (過)        | **preh**  | to recall   |
| 465 | Future (未)      | **pros**  | to foresee  |
| 466 | Always (常)      | **sem**   | to repeat   |
| 467 | Never (絶)       | **null**  | to void     |
| 468 | Soon (早)        | **cito**  | to hasten   |
| 469 | Late (遅)        | **tard**  | to delay    |
| 470 | Begin (始)       | **init**  | to commence |
| #   | Concept (Kanji) | Glyph     | Verb Form          |
| --- | --------------- | --------- | ------------------ |
| 471 | Think (思)       | **log**   | to reason          |
| 472 | Know (知)        | **gnō**   | to grasp           |
| 473 | Remember (憶)    | **mem**   | to store           |
| 474 | Forget (忘)      | **obl**   | to lose            |
| 475 | Imagine (想)     | **phant** | to shape ideas     |
| 476 | Doubt (疑)       | **skept** | to question        |
| 477 | Learn (学)       | **disc**  | to absorb          |
| 478 | Teach (教)       | **doc**   | to instruct        |
| 479 | Focus (注)       | **fix**   | to attend          |
| 480 | Distract (散)    | **div**   | to scatter thought |
| #   | Concept (Kanji) | Glyph      | Verb Form                  |
| --- | --------------- | ---------- | -------------------------- |
| 481 | Love (愛)        | **phil**   | to embrace                 |
| 482 | Hate (憎)        | **mis**    | to reject                  |
| 483 | Joy (喜)         | **gaud**   | to cheer                   |
| 484 | Sorrow (悲)      | **dol**    | to ache                    |
| 485 | Fear (恐)        | **phob**   | to tremble                 |
| 486 | Anger (怒)       | **ir**     | to flare                   |
| 487 | Calm (静)        | **plac**   | to settle                  |
| 488 | Shame (恥)       | **pud**    | to hide face               |
| 489 | Pride (誇)       | **superb** | to raise head              |
| 490 | Envy (嫉)        | **zel**    | to desire what’s not yours |
| #   | Concept (Kanji) | Glyph     | Verb Form       |
| --- | --------------- | --------- | --------------- |
| 491 | Code (符)        | **cyph**  | to encode       |
| 492 | Signal (信)      | **ping**  | to transmit     |
| 493 | Data (数)        | **dat**   | to store        |
| 494 | Bit (粒)         | **bit**   | to flip         |
| 495 | Input (入)       | **in**    | to feed         |
| 496 | Output (出)      | **out**   | to emit         |
| 497 | Loop (繰)        | **rec**   | to repeat cycle |
| 498 | Logic (理)       | **bool**  | to compare      |
| 499 | Execute (実)     | **run**   | to activate     |
| 500 | Hack (割)        | **crack** | to breach       |
